id,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,8.25,3.09,2.67,2.56,-17.05
Australia,3.45,1.27,2.72,1.07,-15.43
Brazil,6.40,2.13,3.00,1.99,-6.84
Britain,1.94,0.51,3.83,0.60,19.06
Canada,3.63,1.17,3.09,1.13,-4.04
Chile,1670.00,540.15,3.09,518.63,-3.98
China,11.00,7.77,1.41,3.42,-56.06
Colombia,6900.00,2239.33,3.08,2142.86,-4.31
Costa Rica,1130.00,509.54,2.22,350.93,-31.13
Czech Republic,52.10,21.50,2.42,16.18,-24.75
Denmark,27.75,5.75,4.82,8.62,49.80
Egypt,9.09,5.70,1.59,2.82,-50.47
Euro area,2.94,0.77,3.81,0.91,18.30
Hong Kong,12.00,7.80,1.54,3.73,-52.21
Hungary,590.00,194.42,3.03,183.23,-5.76
India,,,,,
Indonesia,15900.00,9090.00,1.75,4937.89,-45.68
Israel,,,,,
Japan,280.00,121.59,2.30,86.96,-28.48
Latvia,1.35,0.55,2.47,0.42,-23.44
Lithuania,6.50,2.69,2.41,2.02,-25.08
Malaysia,5.50,3.50,1.57,1.71,-51.23
Mexico,29.00,10.89,2.66,9.01,-17.29
New Zealand,4.60,1.43,3.22,1.43,0.04
Norway,41.50,6.10,6.80,12.89,111.20
Pakistan,140.00,60.06,2.33,43.48,-27.60
Peru,9.50,3.19,2.98,2.95,-7.50
Philippines,85.00,49.05,1.73,26.40,-46.18
Poland,6.90,2.97,2.32,2.14,-27.89
Russia,49.00,26.53,1.85,15.22,-42.65
Saudi Arabia,9.00,3.75,2.40,2.80,-25.45
Singapore,3.60,1.54,2.34,1.12,-27.31
South Africa,15.50,7.11,2.18,4.81,-32.29
South Korea,2900.00,940.15,3.08,900.62,-4.20
Sri Lanka,190.00,102.96,1.85,59.01,-42.69
Sweden,32.00,7.04,4.54,9.94,41.14
Switzerland,6.30,1.25,5.05,1.96,56.71
Taiwan,75.00,32.93,2.28,23.29,-29.26
Thailand,62.00,35.30,1.76,19.25,-45.45
Turkey,4.55,1.41,3.23,1.41,0.23
UAE,10.00,3.67,2.72,3.11,-15.44
Ukraine,9.00,5.05,1.78,2.80,-44.65
United States,3.22,1.00,3.22,1.00,0.00
Uruguay,55.00,23.93,2.30,17.08,-28.61
Venezuela,6800.00,4125.28,1.65,2111.80,-48.81
